Sr. No.,Tag id,x,y
1,336,25,17
2,61,35,17
3,14,35,7
4,352,25,7
5,87,43,24
6,391,46,25
7,130,49,25
8,27,52,25
9,29,55,24
10,38,58,25
11,191,61,25
12,76,64,24
13,236,67,24
14,192,70,25
15,45,73,24
16,67,76,27
17,45,79,27
18,35,81,24
19,95,83,20
20,55,81,16
21,859,83,12
22,900,81,7
23,879,84,4
24,849,86,10
25,836,88,14
26,809,86,18
27,866,88,22
28,847,87,27
29,897,89,25
30,828,91,24
31,813,95,20
32,363,91,16
33,811,95,12
34,829,91,9
35,850,99,3
36,860,102,3
37,5,105,1
38,31,105,9
39,15,103,13
40,43,105,17
41,318,103,21
42,364,107,27
43,345,108,24
44,358,110,20
45,370,108,16
46,377,110,12
47,340,108,8
48,320,108,1
49,360,113,6
50,367,114,10
51,365,116,14
52,204,113,18
53,319,116,22
54,346,116,27
55,386,119,27
56,326,119,23
57,327,119,19
58,329,119,15
59,389,122,27
60,325,125,25
61,51,128,21
62,21,125,17
63,356,133,27
64,74,137,27
65,7,138,24
66,307,138,20
67,25,139,16
68,55,138,12
69,54,139,7
70,30,142,7
71,52,145,5
72,64,148,12
73,94,150,16
74,302,148,20
75,151,150,24
76,285,149,27
77,180,154,27
78,249,158,24
79,297,157,19
80,239,158,14
81,123,158,9
82,142,161,7
83,183,165,7
84,115,163,12
85,196,165,17
86,173,163,21
87,800,163,27
88,164,173,23
89,219,170,21
90,170,168,16
91,237,170,11
92,113,170,6
93,255,174,7
94,140,127,13
95,122,126,8
96,100,66,22
97,108,67,18
98,131,66,13
99,119,67,9
100,135,66,4